t,phase,goal,position,load,current_mA
0.00,close,1998,2031,0,0
0.02,close,1966,2031,36,0
0.04,close,1933,2031,76,20
0.07,close,1901,2030,132,26
0.09,close,1868,2026,172,32
0.11,close,1835,2019,212,58
0.13,close,1803,2009,232,58
0.15,close,1770,1998,276,65
0.17,close,1738,1984,324,91
0.19,close,1705,1967,352,110
0.22,close,1672,1949,384,130
0.24,close,1640,1929,436,169
0.26,close,1607,1906,488,221
0.28,close,1575,1881,532,247
0.30,close,1542,1855,572,286
0.32,close,1509,1825,592,254
0.34,close,1477,1793,592,260
0.37,close,1444,1761,592,266
0.39,close,1412,1728,584,292
0.41,close,1379,1697,592,234
0.43,close,1346,1663,576,247
0.45,close,1314,1631,588,273
0.47,close,1281,1598,580,260
0.50,close,1249,1565,588,260
0.52,close,1216,1533,588,240
0.54,close,1213,1501,584,286
0.56,close,1213,1469,576,273
0.58,close,1213,1437,544,221
0.60,close,1213,1406,508,221
0.62,close,1213,1379,480,176
0.65,close,1213,1355,456,182
0.67,close,1213,1332,428,169
0.69,close,1213,1311,392,162
0.71,close,1213,1288,296,46
0.73,close,1213,1271,280,46
0.75,close,1213,1254,208,13
0.77,close,1213,1239,136,6
0.80,close,1213,1229,104,6
0.82,close,1213,1222,60,6
0.84,close,1213,1218,24,0
0.86,close,1213,1217,32,6
0.88,close,1213,1216,28,0
0.90,close,1213,1216,28,0
0.92,close,1213,1216,32,0
0.94,close,1213,1216,32,6
0.97,close,1213,1216,32,6
0.99,close,1213,1216,32,6
1.01,close,1213,1216,32,0
1.03,close,1213,1216,32,6
1.05,close,1213,1216,32,6
1.07,close,1213,1216,32,6
1.09,close,1213,1216,32,0
1.11,close,1213,1216,32,6
1.14,close,1213,1216,32,6
1.16,close,1213,1216,32,6
1.18,close,1213,1216,32,6
1.20,close,1213,1216,32,6
1.22,close,1213,1216,32,6
1.24,close,1213,1216,32,0
1.26,close,1213,1216,32,6
1.28,close,1213,1216,32,6
1.31,close,1213,1216,32,0
1.33,close,1213,1216,32,6
1.35,close,1213,1216,32,6
1.37,close,1213,1216,32,0
1.39,close,1213,1216,32,0
1.41,close,1213,1216,32,6
1.43,close,1213,1216,32,6
1.46,close,1213,1216,32,6
1.48,close,1213,1216,32,6
1.50,close,1213,1216,32,6
1.52,close,1213,1216,32,0
1.54,close,1213,1216,32,6
1.57,close,1213,1216,32,6
1.59,close,1213,1216,32,6
1.61,close,1213,1216,32,0
1.63,close,1213,1216,32,6
1.65,close,1213,1216,32,6
1.68,close,1213,1216,32,0
1.70,close,1213,1216,32,6
1.72,close,1213,1216,32,6
1.74,close,1213,1216,32,6
