t,phase,goal,position,load,current_mA
0.00,close,1724,1757,0,0
0.02,close,1691,1757,36,0
0.04,close,1657,1756,68,6
0.07,close,1624,1753,100,13
0.09,close,1591,1748,136,20
0.11,close,1558,1740,160,20
0.13,close,1524,1731,196,32
0.15,close,1491,1719,232,26
0.17,close,1458,1704,260,39
0.19,close,1425,1687,296,52
0.22,close,1391,1668,312,39
0.24,close,1358,1647,352,58
0.26,close,1325,1623,388,52
0.28,close,1292,1597,404,65
0.30,close,1258,1569,444,72
0.32,close,1225,1539,472,65
0.34,close,1192,1506,456,58
0.36,close,1159,1474,468,65
0.39,close,1125,1441,468,58
0.41,close,1092,1408,464,46
0.43,close,1059,1375,472,46
0.45,close,1026,1342,476,65
0.47,close,992,1308,472,46
0.49,close,959,1275,460,58
0.52,close,929,1241,468,58
0.54,close,929,1209,464,52
0.56,close,929,1176,452,32
0.58,close,929,1145,424,26
0.60,close,929,1115,392,26
0.62,close,929,1088,376,39
0.64,close,929,1062,336,26
0.67,close,929,1037,296,13
0.69,close,929,1016,264,20
0.71,close,929,998,240,13
0.73,close,929,982,216,20
0.75,close,929,968,192,13
0.77,close,929,956,152,13
0.79,close,929,947,124,6
0.81,close,929,940,76,6
0.84,close,929,936,44,0
0.86,close,929,935,52,6
0.88,close,929,935,56,13
0.90,close,929,935,56,6
0.92,close,929,934,44,0
0.94,close,929,933,40,6
0.96,close,929,933,36,0
0.98,close,929,933,40,6
1.01,close,929,933,40,6
1.03,close,929,933,40,0
1.05,close,929,933,40,6
1.07,close,929,933,40,0
1.09,close,929,933,40,0
1.11,close,929,933,40,6
1.13,close,929,933,40,6
1.15,close,929,933,40,6
1.18,close,929,933,40,6
1.20,close,929,933,40,6
1.22,close,929,933,40,6
1.24,close,929,933,40,0
1.26,close,929,933,40,6
1.28,close,929,933,40,6
1.30,close,929,933,40,0
1.32,close,929,933,40,6
1.35,close,929,933,40,6
1.37,close,929,933,40,6
1.39,close,929,933,40,6
1.41,close,929,933,40,6
